Dates;PX_LAST;PX_BID;PX_ASK
07.01.2015;70,036;69,811;70,262
08.01.2015;68,46;68,21;68,71
09.01.2015;69,78;69,53;70,03
12.01.2015;71,019;70,769;71,269
13.01.2015;71,505;71,255;71,755
14.01.2015;71,23;70,98;71,48
15.01.2015;73,26;73,01;73,51
16.01.2015;71,951;71,701;72,2
20.01.2015;72,25;72;72,5
21.01.2015;69,85;69,6;70,1
22.01.2015;68,15;67,9;68,4
23.01.2015;68,05;67,8;68,3
26.01.2015;65,525;65,15;65,9
27.01.2015;66,904;66,654;67,154
28.01.2015;69,1;68,85;69,35
29.01.2015;68,1;67,85;68,35
30.01.2015;70,58;70,33;70,83
02.02.2015;68,728;68,528;68,928
03.02.2015;65,25;65;65,5
04.02.2015;68,25;68;68,5
05.02.2015;66,05;65,8;66,3
06.02.2015;65,9;65,65;66,15
09.02.2015;66,65;66,4;66,9
10.02.2015;66,005;65,755;66,255
11.02.2015;66,35;66,153;66,546
12.02.2015;65,426;65,176;65,676
13.02.2015;64,85;64,6;65,1
17.02.2015;65,075;64,85;65,3
18.02.2015;64,013;63,805;64,221
19.02.2015;64,234;64,014;64,454
20.02.2015;63,35;63,1;63,6
23.02.2015;63,52;63,307;63,733
24.02.2015;62,001;61,796;62,205
25.02.2015;61,7;61,474;61,926
26.02.2015;61,517;61,305;61,729
27.02.2015;61,227;61,022;61,431
02.03.2015;60,801;60,601;61,001
03.03.2015;61,729;61,538;61,921
04.03.2015;61,593;61,398;61,789
05.03.2015;60,103;59,903;60,303
06.03.2015;62,031;61,806;62,255
09.03.2015;63,649;63,449;63,849
10.03.2015;65,075;64,85;65,3
11.03.2015;65,33;65,08;65,58
12.03.2015;64,125;63,9;64,35
13.03.2015;65,95;65,7;66,2
16.03.2015;65,314;65,088;65,541
17.03.2015;64,99;64,777;65,202
18.03.2015;62,1;61,85;62,35
19.03.2015;63,609;63,409;63,809
20.03.2015;63;62,8;63,2
23.03.2015;62,7;62,45;62,95
24.03.2015;62,812;62,612;63,012
25.03.2015;64,75;64,5;65
26.03.2015;64,171;63,956;64,385
27.03.2015;64,7;64,45;64,95
30.03.2015;64,026;63,801;64,251
31.03.2015;63,65;63,434;63,867
01.04.2015;63,25;63,05;63,45
02.04.2015;62,731;62,544;62,919
03.04.2015;63,163;62,913;63,413
06.04.2015;61,1;60,85;61,35
07.04.2015;60,201;59,988;60,413
08.04.2015;60,476;60,248;60,703
09.04.2015;60,557;60,371;60,743
10.04.2015;60,744;60,546;60,943
13.04.2015;61,994;61,782;62,206
14.04.2015;61,689;61,478;61,901
15.04.2015;60,625;60,415;60,836
16.04.2015;61,3;61;61,6
17.04.2015;63,375;63,157;63,592
20.04.2015;62,475;62,3;62,65
21.04.2015;61,987;61,773;62,201
22.04.2015;61,429;61,217;61,642
23.04.2015;61,2;60,975;61,425
24.04.2015;61;60,8;61,2
27.04.2015;61,037;60,875;61,2
28.04.2015;61,141;60,93;61,352
29.04.2015;62,674;62,437;62,912
30.04.2015;63,458;63,247;63,668
01.05.2015;62,775;62,55;63
04.05.2015;62,738;62,525;62,951
05.05.2015;63,975;63,75;64,2
06.05.2015;65,525;65,3;65,75
07.05.2015;65,875;65,675;66,075
08.05.2015;63,006;62,803;63,208
11.05.2015;64,918;64,703;65,132
12.05.2015;65,059;64,859;65,259
13.05.2015;65,554;65,357;65,751
14.05.2015;63,675;63,45;63,9
15.05.2015;62,591;62,388;62,794
18.05.2015;63,258;63,037;63,479
19.05.2015;63,975;63,6;64,35
20.05.2015;64,225;64;64,45
21.05.2015;63,427;63,23;63,625
22.05.2015;63,85;63,6;64,1
26.05.2015;63,907;63,692;64,121
27.05.2015;62,885;62,675;63,096
28.05.2015;63,846;63,641;64,051
29.05.2015;63,925;63,7;64,15
01.06.2015;63,75;63,5;64
02.06.2015;63,99;63,817;64,162
03.06.2015;65,187;64,972;65,401
04.06.2015;65,96;65,762;66,159
05.06.2015;66,893;66,689;67,097
08.06.2015;68,298;68,051;68,545
09.06.2015;67,768;67,569;67,967
10.06.2015;66,3;66,05;66,55
11.06.2015;65,75;65,5;66
12.06.2015;67,4;67,15;67,65
15.06.2015;70,053;69,841;70,266
16.06.2015;68,808;68,607;69,009
17.06.2015;70,066;69,816;70,316
18.06.2015;68,238;67,988;68,488
19.06.2015;68,187;67,939;68,434
22.06.2015;65,25;65,001;65,499
23.06.2015;65;64,75;65,25
24.06.2015;67,25;67;67,5
25.06.2015;67,28;67,03;67,53
26.06.2015;67,45;67,2;67,7
29.06.2015;71,757;71,451;72,062
30.06.2015;69,918;69,686;70,15
01.07.2015;68,25;68;68,5
02.07.2015;67,9;67,6;68,2
06.07.2015;71,417;71,218;71,617
07.07.2015;71,061;70,813;71,309
08.07.2015;73,3;73,05;73,55
09.07.2015;72,848;72,609;73,088
10.07.2015;69,75;69,25;70,25
13.07.2015;67,746;67,5;67,992
14.07.2015;67,31;67,084;67,535
15.07.2015;67,35;67,1;67,6
16.07.2015;64,906;64,73;65,081
17.07.2015;65,548;65,298;65,798
20.07.2015;65,9;65,65;66,15
21.07.2015;67,3;67;67,6
22.07.2015;68,45;68,2;68,7
23.07.2015;69,5;69,25;69,75
24.07.2015;71,65;71,4;71,9
27.07.2015;73,175;72,966;73,384
28.07.2015;70,9;70,688;71,113
29.07.2015;70,15;69,965;70,336
30.07.2015;71,3;71,075;71,525
31.07.2015;70,751;70,535;70,967
03.08.2015;71,913;71,726;72,101
04.08.2015;72,2;72;72,4
05.08.2015;72,025;71,838;72,213
06.08.2015;74,35;74,1;74,6
07.08.2015;74,646;74,417;74,875
10.08.2015;73,65;73,4;73,9
11.08.2015;75,308;75,121;75,495
12.08.2015;75,925;75,767;76,084
13.08.2015;76,75;76,55;76,95
14.08.2015;76,55;76,3;76,8
17.08.2015;76,5;76,25;76,75
18.08.2015;77,889;77,587;78,191
19.08.2015;79,501;79,311;79,69
20.08.2015;80,875;80,65;81,1
21.08.2015;82,7;82,5;82,9
24.08.2015;87,875;87,5;88,25
25.08.2015;87,338;87;87,675
26.08.2015;82,2;81,95;82,45
27.08.2015;78,35;78;78,7
28.08.2015;80,104;79,854;80,354
31.08.2015;81,75;81,5;82
01.09.2015;84,55;84,3;84,8
